hash rng offset dim m N Mtot curtask Ntasks sum sum2 chi2cdf
166a320f22d7c6b2 1 0 16 True True 1 2 20 2 0 1 20 250 0.9746526813225317
10f5df379ce0ac39 1 0 16 True True 1 2 40 2 0 1 40 850 0.886153701993342
1fbd7d92281713ca 1 0 16 True True 1 4 40 4 0 1 40 438 0.7161138692401724
072ce13c71ca6878 1 0 16 True True 2 2 40 4 0 1 40 450 0.8282028557032669
073c5a4db752edfe 1 0 16 True True 1 4 80 4 0 1 80 1666 0.6523573552677251
0ad536c1601ff373 1 0 16 True True 1 8 80 8 0 1 80 858 0.43671304128693644
1a62692c7bc0b3ed 1 0 16 True True 2 2 80 4 0 1 80 1722 0.8931549185023171
082b56fa7edc2842 1 0 16 True True 3 2 80 8 0 1 80 912 0.8698700827159646
05f122c294eaed06 1 0 16 True True 1 10 100 10 0 1 100 1072 0.38369477501663485
1154cbcf2171ec77 1 0 16 True True 1 2 100 2 0 1 100 5128 0.8904014166008841
50437ae51c636f27 1 0 16 True True 1 8 160 8 0 1 160 3246 0.05860998717720005
0084517be5f94dd7 1 0 16 True True 1 16 160 16 0 1 160 1714 0.2762418902106147
01dbcad84e69e276 1 0 16 True True 2 4 160 16 0 1 160 1732 0.41314675717204763
135c604cf933415e 1 0 16 True True 3 2 160 8 0 1 160 3316 0.4367130412869381
236c7a7e0ae44af2 1 0 16 True True 4 2 160 16 0 1 160 1702 0.19302572688951894
0467ac43f9d39fdd 1 0 16 True True 1 10 200 10 0 1 200 4124 0.28025342517596474
1f31ceb9abc67367 1 0 16 True True 1 20 200 20 0 1 200 2102 0.05216161236704377
0ca280d3c50dc07a 1 0 16 True True 1 2 200 2 0 1 200 20098 0.677801193837416
0878c257a7d2894c 1 0 16 True True 1 4 200 4 0 1 200 10054 0.21809577566137195
7b616f982188bfb4 1 0 16 True True 2 2 200 4 0 1 200 10198 0.7341840721521197
41e8aaa1dc338c86 1 0 16 True True 1 30 300 30 0 1 300 3254 0.34266457079450163
2d231834658b82de 1 0 16 True True 1 16 320 16 0 1 320 6596 0.16787174278032901
07bbbbdef81ee11f 1 0 16 True True 1 32 320 32 0 1 320 3450 0.23228227930915574
36a58459c6c9dfb9 1 0 16 True True 2 4 320 16 0 1 320 6658 0.38997824456475433
663f1e25f1d5a4f4 1 0 16 True True 4 2 320 16 0 1 320 6748 0.7044800692306559
1103ac583686965e 1 0 16 True True 5 2 320 32 0 1 320 3578 0.8134899804875825
12fe23656779a347 1 0 16 True True 1 20 400 20 0 1 400 8282 0.22216907473339678
36964d54479f4cff 1 0 16 True True 1 40 400 40 0 1 400 4296 0.1384879624847158
19cf2d7602c75cd0 1 0 16 True True 1 4 400 4 0 1 400 40082 0.15532244136924372
2df46eec64396004 1 0 16 True True 1 8 400 8 0 1 400 20220 0.26727691643613205
